State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Total","Total","TOTAL","Monthly","Total","Jun-2012",22362609.794,
"Total","Total","TOTAL","Monthly","Total","Jul-2012",21589584.421,
"Total","Total","TOTAL","Monthly","Total","Aug-2012",20639512.21,
"Total","Total","TOTAL","Monthly","Total","Sep-2012",19598951.198,
"Total","Total","TOTAL","Monthly","Total","Oct-2012",20238945.485,
"Total","Total","TOTAL","Monthly","Total","Nov-2012",19654091.478,
"Total","Total","TOTAL","Monthly","Total","Dec-2012",21755655.091,
"Total","Total","TOTAL","Monthly","Total","Jan-2013",17988154.681,
"Total","Total","TOTAL","Monthly","Total","Feb-2013",18950071.807,
"Total","Total","TOTAL","Monthly","Total","Mar-2013",21355790.079,
"Total","Total","TOTAL","Monthly","Total","Apr-2013",20713368.905,
"Total","Total","TOTAL","Monthly","Total","May-2013",22640574.328,
"Total","Total","TOTAL","Monthly","Total","Jun-2013",22462738.7,
"Total","Total","TOTAL","Monthly","Total","Jul-2013",22152629.619,
"Total","Total","TOTAL","Monthly","Total","Aug-2013",23570035.522,
"Total","Total","TOTAL","Monthly","Total","Sep-2013",22687546.13,
"Total","Total","TOTAL","Monthly","Total","Oct-2013",22706928.477,
"Total","Total","TOTAL","Monthly","Total","Nov-2013",21837776.745,
"Total","Total","TOTAL","Monthly","Total","Dec-2013",25540800.737,
"Total","Total","TOTAL","Monthly","Total","Jan-2014",21988839.055,
"Total","Total","TOTAL","Monthly","Total","Feb-2014",22446742.432,
"Total","Total","TOTAL","Monthly","Total","Mar-2014",24064546.257,
"Total","Total","TOTAL","Monthly","Total","Apr-2014",22518930.189,
"Total","Total","TOTAL","Monthly","Total","May-2014",22971818.359,
"Total","Total","TOTAL","Monthly","Cambodia","Jun-2012",3090.186,
"Total","Total","TOTAL","Monthly","Cambodia","Jul-2012",2280.831,
"Total","Total","TOTAL","Monthly","Cambodia","Aug-2012",2009.644,
"Total","Total","TOTAL","Monthly","Cambodia","Sep-2012",2039.308,
"Total","Total","TOTAL","Monthly","Cambodia","Oct-2012",2980.905,
"Total","Total","TOTAL","Monthly","Cambodia","Nov-2012",2689.498,
"Total","Total","TOTAL","Monthly","Cambodia","Dec-2012",3056.185,
"Total","Total","TOTAL","Monthly","Cambodia","Jan-2013",2525.899,
"Total","Total","TOTAL","Monthly","Cambodia","Feb-2013",1737.843,
"Total","Total","TOTAL","Monthly","Cambodia","Mar-2013",1540.141,
"Total","Total","TOTAL","Monthly","Cambodia","Apr-2013",1057.672,
"Total","Total","TOTAL","Monthly","Cambodia","May-2013",2668.057,
"Total","Total","TOTAL","Monthly","Cambodia","Jun-2013",3172.685,
"Total","Total","TOTAL","Monthly","Cambodia","Jul-2013",1877.974,
"Total","Total","TOTAL","Monthly","Cambodia","Aug-2013",3452.267,
"Total","Total","TOTAL","Monthly","Cambodia","Sep-2013",2457.901,
"Total","Total","TOTAL","Monthly","Cambodia","Oct-2013",1817.354,
"Total","Total","TOTAL","Monthly","Cambodia","Nov-2013",2996.72,
"Total","Total","TOTAL","Monthly","Cambodia","Dec-2013",2521.168,
"Total","Total","TOTAL","Monthly","Cambodia","Jan-2014",3502.957,
"Total","Total","TOTAL","Monthly","Cambodia","Feb-2014",3612.983,
