State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Sep-2013",548.8,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Nov-2013",678.223,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","May-2014",2.127,
"Australian Capital Territory","Total","TOTAL","Monthly","New Zealand","Nov-2013",678.223,
"Australian Capital Territory","Total","TOTAL","Monthly","Solomon Islands","Sep-2013",548.8,
"Australian Capital Territory","Total","TOTAL","Monthly","Cook Islands","May-2014",2.127,
"Australian Capital Territory","Total","Machinery and transport equipment","Monthly","Total","May-2014",2.127,
"Australian Capital Territory","Total","Commodities and transactions not classified elsewhere in the SITC","Monthly","Total","Sep-2013",548.8,
"Australian Capital Territory","Total","Commodities and transactions not classified elsewhere in the SITC","Monthly","Total","Nov-2013",678.223,
"Australian Capital Territory","Total","Commodities and transactions not classified elsewhere in the SITC","Monthly","New Zealand","Nov-2013",678.223,
"Australian Capital Territory","Total","Commodities and transactions not classified elsewhere in the SITC","Monthly","Solomon Islands","Sep-2013",548.8,
"Australian Capital Territory","Total","Machinery and transport equipment","Monthly","Cook Islands","May-2014",2.127,
