State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"New South Wales","Total","TOTAL","Monthly","Total","Aug-2013",3255109.82,
"New South Wales","Total","TOTAL","Monthly","Total","Sep-2013",3005340.903,
"New South Wales","Total","TOTAL","Monthly","Total","Oct-2013",3279099.531,
"New South Wales","Total","TOTAL","Monthly","Total","Nov-2013",2823679.441,
"New South Wales","Total","TOTAL","Monthly","Total","Dec-2013",3375454.674,
"New South Wales","Total","TOTAL","Monthly","Total","Jan-2014",2927601.699,
"New South Wales","Total","TOTAL","Monthly","Total","Feb-2014",2807407.479,
"New South Wales","Total","TOTAL","Monthly","Total","Mar-2014",3169076.445,
"New South Wales","Total","TOTAL","Monthly","Total","Apr-2014",2819349.773,
"New South Wales","Total","TOTAL","Monthly","Total","May-2014",2932885.102,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Aug-2013",2236.605,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Sep-2013",1733.82,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Oct-2013",376.224,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Nov-2013",257.939,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Dec-2013",1028.925,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jan-2014",673.533,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Feb-2014",974.381,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Mar-2014",1010.282,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Apr-2014",1419.437,
"New South Wales","Total","TOTAL","Monthly","Cambodia","May-2014",1880.738,
"New South Wales","Total","TOTAL","Monthly","Georgia","Aug-2013",6.954,
"New South Wales","Total","TOTAL","Monthly","Georgia","Sep-2013",107.794,
"New South Wales","Total","TOTAL","Monthly","Georgia","Oct-2013",453.68,
"New South Wales","Total","TOTAL","Monthly","Georgia","Dec-2013",27.515,
"New South Wales","Total","TOTAL","Monthly","Georgia","Jan-2014",8.667,
"New South Wales","Total","TOTAL","Monthly","Georgia","Feb-2014",22.102,
"New South Wales","Total","TOTAL","Monthly","Georgia","Apr-2014",34.561,
"New South Wales","Total","TOTAL","Monthly","Georgia","May-2014",35.779,
"New South Wales","Total","TOTAL","Monthly","Gibraltar","Oct-2013",10,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Aug-2013",3,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Sep-2013",21.182,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Oct-2013",14.464,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Dec-2013",18.116,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Jan-2014",34.361,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Feb-2014",37.348,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Apr-2014",104.92,
"New South Wales","Total","TOTAL","Monthly","Grenada","Apr-2014",8.418,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Aug-2013",71333.374,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Sep-2013",53475.683,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Oct-2013",52280.648,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Nov-2013",61567.974,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Dec-2013",47913.428,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jan-2014",70029.48,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Feb-2014",39654.259,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Mar-2014",34684.364,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Apr-2014",29032.885,
"New South Wales","Total","TOTAL","Monthly","Indonesia","May-2014",49507.115,
"New South Wales","Total","TOTAL","Monthly","Iraq","Aug-2013",204.31,
"New South Wales","Total","TOTAL","Monthly","Iraq","Sep-2013",220.653,
"New South Wales","Total","TOTAL","Monthly","Iraq","Oct-2013",342.794,
"New South Wales","Total","TOTAL","Monthly","Iraq","Nov-2013",283.196,
"New South Wales","Total","TOTAL","Monthly","Iraq","Dec-2013",586.411,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jan-2014",71.984,
"New South Wales","Total","TOTAL","Monthly","Iraq","Feb-2014",264.158,
"New South Wales","Total","TOTAL","Monthly","Iraq","Mar-2014",126.836,
"New South Wales","Total","TOTAL","Monthly","Iraq","Apr-2014",37.557,
"New South Wales","Total","TOTAL","Monthly","Iraq","May-2014",7407.817,
"New South Wales","Total","TOTAL","Monthly","Israel","Aug-2013",4669.665,
"New South Wales","Total","TOTAL","Monthly","Israel","Sep-2013",3416.611,
"New South Wales","Total","TOTAL","Monthly","Israel","Oct-2013",2852.788,
"New South Wales","Total","TOTAL","Monthly","Israel","Nov-2013",2913.893,
"New South Wales","Total","TOTAL","Monthly","Israel","Dec-2013",5427.711,
"New South Wales","Total","TOTAL","Monthly","Israel","Jan-2014",2729.836,
"New South Wales","Total","TOTAL","Monthly","Israel","Feb-2014",3443.508,
"New South Wales","Total","TOTAL","Monthly","Israel","Mar-2014",5423.9,
"New South Wales","Total","TOTAL","Monthly","Israel","Apr-2014",3469.663,
"New South Wales","Total","TOTAL","Monthly","Israel","May-2014",4407.933,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Aug-2013",219.399,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Sep-2013",1347.258,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Oct-2013",112.789,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Nov-2013",65.834,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Dec-2013",111.484,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Jan-2014",159.842,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Mar-2014",518.975,
"New South Wales","Total","TOTAL","Monthly","Kazakhstan","Apr-2014",57.944,
