State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"New South Wales","Total","TOTAL","Monthly","Total","Jun-2012",3384693.943,
"New South Wales","Total","TOTAL","Monthly","Total","Jul-2012",3394879.802,
"New South Wales","Total","TOTAL","Monthly","Total","Aug-2012",3075681.557,
"New South Wales","Total","TOTAL","Monthly","Total","Sep-2012",3157567.141,
"New South Wales","Total","TOTAL","Monthly","Total","Oct-2012",3221050.204,
"New South Wales","Total","TOTAL","Monthly","Total","Nov-2012",2997803.097,
"New South Wales","Total","TOTAL","Monthly","Total","Dec-2012",3262551.799,
"New South Wales","Total","TOTAL","Monthly","Total","Jan-2013",2746220.548,
"New South Wales","Total","TOTAL","Monthly","Total","Feb-2013",2815428.044,
"New South Wales","Total","TOTAL","Monthly","Total","Mar-2013",2941785.863,
"New South Wales","Total","TOTAL","Monthly","Total","Apr-2013",2965064.973,
"New South Wales","Total","TOTAL","Monthly","Total","May-2013",3196025.612,
"New South Wales","Total","TOTAL","Monthly","Total","Jun-2013",3290183.218,
"New South Wales","Total","TOTAL","Monthly","Total","Jul-2013",3296427.026,
"New South Wales","Total","TOTAL","Monthly","Total","Aug-2013",3255109.82,
"New South Wales","Total","TOTAL","Monthly","Total","Sep-2013",3005340.903,
"New South Wales","Total","TOTAL","Monthly","Total","Oct-2013",3279099.531,
"New South Wales","Total","TOTAL","Monthly","Total","Nov-2013",2823679.441,
"New South Wales","Total","TOTAL","Monthly","Total","Dec-2013",3375454.674,
"New South Wales","Total","TOTAL","Monthly","Total","Jan-2014",2927601.699,
"New South Wales","Total","TOTAL","Monthly","Total","Feb-2014",2807407.479,
"New South Wales","Total","TOTAL","Monthly","Total","Mar-2014",3169076.445,
"New South Wales","Total","TOTAL","Monthly","Total","Apr-2014",2819349.773,
"New South Wales","Total","TOTAL","Monthly","Total","May-2014",2932885.102,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jun-2012",480.473,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jul-2012",946.316,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Aug-2012",247.733,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Sep-2012",455.461,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Oct-2012",635.971,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Nov-2012",792.05,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Dec-2012",190.527,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jan-2013",1513.538,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Feb-2013",756.34,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Mar-2013",311.982,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Apr-2013",370.224,
"New South Wales","Total","TOTAL","Monthly","Cambodia","May-2013",1347.757,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jun-2013",1168.588,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jul-2013",687.913,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Aug-2013",2236.605,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Sep-2013",1733.82,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Oct-2013",376.224,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Nov-2013",257.939,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Dec-2013",1028.925,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Jan-2014",673.533,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Feb-2014",974.381,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Mar-2014",1010.282,
"New South Wales","Total","TOTAL","Monthly","Cambodia","Apr-2014",1419.437,
"New South Wales","Total","TOTAL","Monthly","Cambodia","May-2014",1880.738,
"New South Wales","Total","TOTAL","Monthly","Georgia","Jul-2012",92.955,
"New South Wales","Total","TOTAL","Monthly","Georgia","Aug-2012",299.411,
"New South Wales","Total","TOTAL","Monthly","Georgia","Sep-2012",12.545,
"New South Wales","Total","TOTAL","Monthly","Georgia","Dec-2012",60.858,
"New South Wales","Total","TOTAL","Monthly","Georgia","Mar-2013",235.439,
"New South Wales","Total","TOTAL","Monthly","Georgia","May-2013",50,
"New South Wales","Total","TOTAL","Monthly","Georgia","Jul-2013",50.539,
"New South Wales","Total","TOTAL","Monthly","Georgia","Aug-2013",6.954,
"New South Wales","Total","TOTAL","Monthly","Georgia","Sep-2013",107.794,
"New South Wales","Total","TOTAL","Monthly","Georgia","Oct-2013",453.68,
"New South Wales","Total","TOTAL","Monthly","Georgia","Dec-2013",27.515,
"New South Wales","Total","TOTAL","Monthly","Georgia","Jan-2014",8.667,
"New South Wales","Total","TOTAL","Monthly","Georgia","Feb-2014",22.102,
"New South Wales","Total","TOTAL","Monthly","Georgia","Apr-2014",34.561,
"New South Wales","Total","TOTAL","Monthly","Georgia","May-2014",35.779,
"New South Wales","Total","TOTAL","Monthly","Gibraltar","Aug-2012",8.538,
"New South Wales","Total","TOTAL","Monthly","Gibraltar","Nov-2012",13.037,
"New South Wales","Total","TOTAL","Monthly","Gibraltar","Jan-2013",69.58,
"New South Wales","Total","TOTAL","Monthly","Gibraltar","Feb-2013",350,
"New South Wales","Total","TOTAL","Monthly","Gibraltar","Oct-2013",10,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Jul-2012",83.762,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Aug-2012",37.689,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Sep-2012",2.838,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Dec-2012",163.232,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Jan-2013",55.35,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Feb-2013",3.844,
"New South Wales","Total","TOTAL","Monthly","Guatemala","May-2013",14.859,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Jun-2013",3.414,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Jul-2013",48.392,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Aug-2013",3,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Sep-2013",21.182,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Oct-2013",14.464,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Dec-2013",18.116,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Jan-2014",34.361,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Feb-2014",37.348,
"New South Wales","Total","TOTAL","Monthly","Guatemala","Apr-2014",104.92,
"New South Wales","Total","TOTAL","Monthly","Grenada","Jun-2012",105.093,
"New South Wales","Total","TOTAL","Monthly","Grenada","Jul-2012",71.093,
"New South Wales","Total","TOTAL","Monthly","Grenada","Apr-2014",8.418,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jun-2012",98808.62,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jul-2012",69590.703,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Aug-2012",61804.183,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Sep-2012",54846.506,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Oct-2012",81572.243,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Nov-2012",53707.943,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Dec-2012",46149.412,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jan-2013",56922.748,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Feb-2013",48950.29,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Mar-2013",57075.296,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Apr-2013",86580.11,
"New South Wales","Total","TOTAL","Monthly","Indonesia","May-2013",104815.83,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jun-2013",82371.707,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jul-2013",54545.875,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Aug-2013",71333.374,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Sep-2013",53475.683,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Oct-2013",52280.648,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Nov-2013",61567.974,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Dec-2013",47913.428,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Jan-2014",70029.48,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Feb-2014",39654.259,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Mar-2014",34684.364,
"New South Wales","Total","TOTAL","Monthly","Indonesia","Apr-2014",29032.885,
"New South Wales","Total","TOTAL","Monthly","Indonesia","May-2014",49507.115,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jun-2012",232.989,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jul-2012",14222.114,
"New South Wales","Total","TOTAL","Monthly","Iraq","Aug-2012",99.967,
"New South Wales","Total","TOTAL","Monthly","Iraq","Sep-2012",3729.064,
"New South Wales","Total","TOTAL","Monthly","Iraq","Oct-2012",264.807,
"New South Wales","Total","TOTAL","Monthly","Iraq","Nov-2012",134.893,
"New South Wales","Total","TOTAL","Monthly","Iraq","Dec-2012",229.238,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jan-2013",67.732,
"New South Wales","Total","TOTAL","Monthly","Iraq","Feb-2013",276.859,
"New South Wales","Total","TOTAL","Monthly","Iraq","Mar-2013",99.679,
"New South Wales","Total","TOTAL","Monthly","Iraq","Apr-2013",43488.62,
"New South Wales","Total","TOTAL","Monthly","Iraq","May-2013",490.827,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jun-2013",252.341,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jul-2013",67.266,
"New South Wales","Total","TOTAL","Monthly","Iraq","Aug-2013",204.31,
"New South Wales","Total","TOTAL","Monthly","Iraq","Sep-2013",220.653,
"New South Wales","Total","TOTAL","Monthly","Iraq","Oct-2013",342.794,
"New South Wales","Total","TOTAL","Monthly","Iraq","Nov-2013",283.196,
"New South Wales","Total","TOTAL","Monthly","Iraq","Dec-2013",586.411,
"New South Wales","Total","TOTAL","Monthly","Iraq","Jan-2014",71.984,
"New South Wales","Total","TOTAL","Monthly","Iraq","Feb-2014",264.158,
"New South Wales","Total","TOTAL","Monthly","Iraq","Mar-2014",126.836,
