State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"No state details","Total","TOTAL","Monthly","Total","Jun-2012",45016.508,
"No state details","Total","TOTAL","Monthly","Total","Jul-2012",20559.013,
"No state details","Total","TOTAL","Monthly","Total","Aug-2012",25455.96,
"No state details","Total","TOTAL","Monthly","Total","Sep-2012",32325.588,
"No state details","Total","TOTAL","Monthly","Total","Oct-2012",45877.603,
"No state details","Total","TOTAL","Monthly","Total","Nov-2012",17576.041,
"No state details","Total","TOTAL","Monthly","Total","Dec-2012",30548.272,
"No state details","Total","TOTAL","Monthly","Total","Jan-2013",0,
"No state details","Total","TOTAL","Monthly","Total","Feb-2013",0,
"No state details","Total","TOTAL","Monthly","Total","Mar-2013",0,
"No state details","Total","TOTAL","Monthly","Total","Apr-2013",0,
"No state details","Total","TOTAL","Monthly","Total","May-2013",0,
"No state details","Total","TOTAL","Monthly","Total","Jun-2013",615511.022,
"No state details","Total","TOTAL","Monthly","Total","Jul-2013",514955.721,
"No state details","Total","TOTAL","Monthly","Total","Aug-2013",648358.764,
"No state details","Total","TOTAL","Monthly","Total","Sep-2013",546687.332,
"No state details","Total","TOTAL","Monthly","Total","Oct-2013",548853.731,
"No state details","Total","TOTAL","Monthly","Total","Nov-2013",444135.589,
"No state details","Total","TOTAL","Monthly","Total","Dec-2013",420960.361,
"No state details","Total","TOTAL","Monthly","Total","Jan-2014",347511.526,
"No state details","Total","TOTAL","Monthly","Total","Feb-2014",391948.588,
"No state details","Total","TOTAL","Monthly","Total","Mar-2014",385418.159,
"No state details","Total","TOTAL","Monthly","Total","Apr-2014",481256.009,
"No state details","Total","TOTAL","Monthly","Total","May-2014",459327.693,
"No state details","Total","TOTAL","Monthly","Cambodia","Aug-2013",0,
"No state details","Total","TOTAL","Monthly","Cambodia","Sep-2013",0,
"No state details","Total","TOTAL","Monthly","Georgia","Feb-2014",0,
"No state details","Total","TOTAL","Monthly","Gibraltar","Apr-2014",0,
"No state details","Total","TOTAL","Monthly","Guatemala","Sep-2012",0,
"No state details","Total","TOTAL","Monthly","Guatemala","Aug-2013",0,
"No state details","Total","TOTAL","Monthly","Guatemala","May-2014",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Jun-2012",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Jul-2012",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Dec-2012",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Apr-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Jun-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Jul-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Aug-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Sep-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Oct-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Nov-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Dec-2013",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Jan-2014",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Feb-2014",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Mar-2014",0,
"No state details","Total","TOTAL","Monthly","Indonesia","Apr-2014",0,
"No state details","Total","TOTAL","Monthly","Indonesia","May-2014",0,
"No state details","Total","TOTAL","Monthly","Iraq","Oct-2013",0,
"No state details","Total","TOTAL","Monthly","Iraq","Nov-2013",0,
"No state details","Total","TOTAL","Monthly","Iraq","Dec-2013",0,
"No state details","Total","TOTAL","Monthly","Iraq","Jan-2014",0,
"No state details","Total","TOTAL","Monthly","Iraq","Mar-2014",0,
"No state details","Total","TOTAL","Monthly","Israel","Jun-2012",0,
"No state details","Total","TOTAL","Monthly","Israel","Aug-2012",0,
"No state details","Total","TOTAL","Monthly","Israel","Sep-2012",0,
"No state details","Total","TOTAL","Monthly","Israel","Oct-2012",0,
"No state details","Total","TOTAL","Monthly","Israel","Nov-2012",0,
"No state details","Total","TOTAL","Monthly","Israel","Dec-2012",0,
"No state details","Total","TOTAL","Monthly","Israel","Feb-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Mar-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Apr-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Jun-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Aug-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Sep-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Oct-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Nov-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Dec-2013",0,
"No state details","Total","TOTAL","Monthly","Israel","Jan-2014",0,
"No state details","Total","TOTAL","Monthly","Israel","Feb-2014",0,
"No state details","Total","TOTAL","Monthly","Israel","Mar-2014",0,
"No state details","Total","TOTAL","Monthly","Israel","Apr-2014",0,
"No state details","Total","TOTAL","Monthly","Israel","May-2014",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Jun-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Jul-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Aug-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Sep-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Oct-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Nov-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Dec-2012",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Jan-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Feb-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Mar-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Apr-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","May-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Jun-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Jul-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Aug-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Sep-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Oct-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Nov-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Dec-2013",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Jan-2014",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Feb-2014",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Mar-2014",0,
"No state details","Total","TOTAL","Monthly","New Zealand","Apr-2014",0,
"No state details","Total","TOTAL","Monthly","New Zealand","May-2014",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Jun-2012",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Oct-2012",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Nov-2012",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Jul-2013",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Aug-2013",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Sep-2013",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Nov-2013",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Jan-2014",0,
"No state details","Total","TOTAL","Monthly","French Polynesia","Apr-2014",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Jun-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Jul-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Aug-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Sep-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Oct-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Nov-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Dec-2012",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Jan-2013",0,
"No state details","Total","TOTAL","Monthly","Papua New Guinea","Feb-2013",0,
