State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Northern Territory","Total","TOTAL","Monthly","Total","Aug-2013",686747.253,
"Northern Territory","Total","TOTAL","Monthly","Total","Sep-2013",536487.283,
"Northern Territory","Total","TOTAL","Monthly","Total","Oct-2013",508898.65,
"Northern Territory","Total","TOTAL","Monthly","Total","Nov-2013",529865.812,
"Northern Territory","Total","TOTAL","Monthly","Total","Dec-2013",664064,
"Northern Territory","Total","TOTAL","Monthly","Total","Jan-2014",475995.765,
"Northern Territory","Total","TOTAL","Monthly","Total","Feb-2014",640676.169,
"Northern Territory","Total","TOTAL","Monthly","Total","Mar-2014",599176.506,
"Northern Territory","Total","TOTAL","Monthly","Total","Apr-2014",576366.219,
"Northern Territory","Total","TOTAL","Monthly","Total","May-2014",565233.828,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Aug-2013",2.5,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Jan-2014",10.67,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Feb-2014",2.121,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Mar-2014",2,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Aug-2013",17205.873,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Sep-2013",9556.039,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Oct-2013",23213.783,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Nov-2013",23286.358,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Dec-2013",75223.861,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jan-2014",9063.021,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Feb-2014",24521.751,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Mar-2014",46817.962,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Apr-2014",26016.918,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","May-2014",24363.559,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Aug-2013",42.613,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Sep-2013",86.903,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Oct-2013",655.019,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Nov-2013",90.097,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Dec-2013",50.693,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Jan-2014",160.727,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Feb-2014",1132.744,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Mar-2014",725.963,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","Apr-2014",8.058,
"Northern Territory","Total","TOTAL","Monthly","New Zealand","May-2014",5.25,
"Northern Territory","Total","TOTAL","Monthly","Papua New Guinea","Aug-2013",166.586,
"Northern Territory","Total","TOTAL","Monthly","Papua New Guinea","Sep-2013",356.891,
"Northern Territory","Total","TOTAL","Monthly","Papua New Guinea","Oct-2013",131.365,
"Northern Territory","Total","TOTAL","Monthly","Papua New Guinea","Nov-2013",191.18,
