State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Northern Territory","Total","TOTAL","Monthly","Total","Jun-2012",528296.766,
"Northern Territory","Total","TOTAL","Monthly","Total","Jul-2012",677936.037,
"Northern Territory","Total","TOTAL","Monthly","Total","Aug-2012",501143.557,
"Northern Territory","Total","TOTAL","Monthly","Total","Sep-2012",458736.623,
"Northern Territory","Total","TOTAL","Monthly","Total","Oct-2012",398961.452,
"Northern Territory","Total","TOTAL","Monthly","Total","Nov-2012",551237.961,
"Northern Territory","Total","TOTAL","Monthly","Total","Dec-2012",478739.934,
"Northern Territory","Total","TOTAL","Monthly","Total","Jan-2013",437432.273,
"Northern Territory","Total","TOTAL","Monthly","Total","Feb-2013",492403.469,
"Northern Territory","Total","TOTAL","Monthly","Total","Mar-2013",426205.196,
"Northern Territory","Total","TOTAL","Monthly","Total","Apr-2013",451245.538,
"Northern Territory","Total","TOTAL","Monthly","Total","May-2013",554551.837,
"Northern Territory","Total","TOTAL","Monthly","Total","Jun-2013",525783.835,
"Northern Territory","Total","TOTAL","Monthly","Total","Jul-2013",439472.602,
"Northern Territory","Total","TOTAL","Monthly","Total","Aug-2013",686747.253,
"Northern Territory","Total","TOTAL","Monthly","Total","Sep-2013",536487.283,
"Northern Territory","Total","TOTAL","Monthly","Total","Oct-2013",508898.65,
"Northern Territory","Total","TOTAL","Monthly","Total","Nov-2013",529865.812,
"Northern Territory","Total","TOTAL","Monthly","Total","Dec-2013",664064,
"Northern Territory","Total","TOTAL","Monthly","Total","Jan-2014",475995.765,
"Northern Territory","Total","TOTAL","Monthly","Total","Feb-2014",640676.169,
"Northern Territory","Total","TOTAL","Monthly","Total","Mar-2014",599176.506,
"Northern Territory","Total","TOTAL","Monthly","Total","Apr-2014",576366.219,
"Northern Territory","Total","TOTAL","Monthly","Total","May-2014",565233.828,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Oct-2012",3.914,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Aug-2013",2.5,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Jan-2014",10.67,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Feb-2014",2.121,
"Northern Territory","Total","TOTAL","Monthly","Cambodia","Mar-2014",2,
"Northern Territory","Total","TOTAL","Monthly","Georgia","Jun-2012",9001.018,
"Northern Territory","Total","TOTAL","Monthly","Georgia","Jan-2013",6306.975,
"Northern Territory","Total","TOTAL","Monthly","Georgia","Jun-2013",10879.051,
"Northern Territory","Total","TOTAL","Monthly","Guatemala","Nov-2012",2.85,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jun-2012",20952.977,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jul-2012",14256.883,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Aug-2012",6991.728,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Sep-2012",11522.953,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Oct-2012",10750.128,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Nov-2012",4511.141,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Dec-2012",5994.5,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jan-2013",19118.043,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Feb-2013",6838.267,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Mar-2013",3086.133,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Apr-2013",32898.475,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","May-2013",22851.237,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jun-2013",19769.734,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jul-2013",21533.336,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Aug-2013",17205.873,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Sep-2013",9556.039,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Oct-2013",23213.783,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Nov-2013",23286.358,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Dec-2013",75223.861,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Jan-2014",9063.021,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Feb-2014",24521.751,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Mar-2014",46817.962,
"Northern Territory","Total","TOTAL","Monthly","Indonesia","Apr-2014",26016.918,
