State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Queensland","Total","TOTAL","Monthly","Total","Aug-2013",3808712.574,
"Queensland","Total","TOTAL","Monthly","Total","Sep-2013",3900953.858,
"Queensland","Total","TOTAL","Monthly","Total","Oct-2013",3834643.516,
"Queensland","Total","TOTAL","Monthly","Total","Nov-2013",3776849.098,
"Queensland","Total","TOTAL","Monthly","Total","Dec-2013",4194046.374,
"Queensland","Total","TOTAL","Monthly","Total","Jan-2014",3205079.647,
"Queensland","Total","TOTAL","Monthly","Total","Feb-2014",3485177.523,
"Queensland","Total","TOTAL","Monthly","Total","Mar-2014",3604247.693,
"Queensland","Total","TOTAL","Monthly","Total","Apr-2014",3636858.737,
"Queensland","Total","TOTAL","Monthly","Total","May-2014",3556574.321,
"Queensland","Total","TOTAL","Monthly","Cambodia","Aug-2013",280.285,
"Queensland","Total","TOTAL","Monthly","Cambodia","Sep-2013",70.745,
"Queensland","Total","TOTAL","Monthly","Cambodia","Oct-2013",167.894,
"Queensland","Total","TOTAL","Monthly","Cambodia","Nov-2013",1283.069,
"Queensland","Total","TOTAL","Monthly","Cambodia","Dec-2013",124.694,
"Queensland","Total","TOTAL","Monthly","Cambodia","Jan-2014",1084.891,
"Queensland","Total","TOTAL","Monthly","Cambodia","Feb-2014",1208.494,
"Queensland","Total","TOTAL","Monthly","Cambodia","Mar-2014",489.538,
"Queensland","Total","TOTAL","Monthly","Cambodia","Apr-2014",292.041,
"Queensland","Total","TOTAL","Monthly","Cambodia","May-2014",108.735,
"Queensland","Total","TOTAL","Monthly","Georgia","Aug-2013",12.168,
"Queensland","Total","TOTAL","Monthly","Georgia","Sep-2013",31.15,
"Queensland","Total","TOTAL","Monthly","Georgia","Oct-2013",328.134,
"Queensland","Total","TOTAL","Monthly","Georgia","Dec-2013",3618.973,
"Queensland","Total","TOTAL","Monthly","Georgia","Mar-2014",12,
"Queensland","Total","TOTAL","Monthly","Georgia","May-2014",138.298,
"Queensland","Total","TOTAL","Monthly","Guatemala","Aug-2013",16.785,
"Queensland","Total","TOTAL","Monthly","Guatemala","Sep-2013",4.877,
"Queensland","Total","TOTAL","Monthly","Guatemala","Nov-2013",113.617,
"Queensland","Total","TOTAL","Monthly","Guatemala","Dec-2013",370.038,
"Queensland","Total","TOTAL","Monthly","Guatemala","Mar-2014",6.424,
"Queensland","Total","TOTAL","Monthly","Guatemala","Apr-2014",222.85,
"Queensland","Total","TOTAL","Monthly","Grenada","Feb-2014",11.369,
"Queensland","Total","TOTAL","Monthly","Indonesia","Aug-2013",48755.806,
"Queensland","Total","TOTAL","Monthly","Indonesia","Sep-2013",58791.878,
"Queensland","Total","TOTAL","Monthly","Indonesia","Oct-2013",41283.303,
"Queensland","Total","TOTAL","Monthly","Indonesia","Nov-2013",65800.214,
"Queensland","Total","TOTAL","Monthly","Indonesia","Dec-2013",70496.758,
"Queensland","Total","TOTAL","Monthly","Indonesia","Jan-2014",39196.787,
"Queensland","Total","TOTAL","Monthly","Indonesia","Feb-2014",52039.132,
"Queensland","Total","TOTAL","Monthly","Indonesia","Mar-2014",62043.065,
"Queensland","Total","TOTAL","Monthly","Indonesia","Apr-2014",96085.43,
"Queensland","Total","TOTAL","Monthly","Indonesia","May-2014",97706.461,
"Queensland","Total","TOTAL","Monthly","Iraq","Aug-2013",2.805,
"Queensland","Total","TOTAL","Monthly","Iraq","Sep-2013",260.9,
"Queensland","Total","TOTAL","Monthly","Iraq","Oct-2013",103.051,
"Queensland","Total","TOTAL","Monthly","Iraq","Nov-2013",8.145,
"Queensland","Total","TOTAL","Monthly","Iraq","Dec-2013",84.848,
"Queensland","Total","TOTAL","Monthly","Iraq","Jan-2014",11.954,
"Queensland","Total","TOTAL","Monthly","Iraq","Mar-2014",133.141,
"Queensland","Total","TOTAL","Monthly","Iraq","Apr-2014",129.682,
"Queensland","Total","TOTAL","Monthly","Iraq","May-2014",40.946,
"Queensland","Total","TOTAL","Monthly","Israel","Aug-2013",15446.918,
"Queensland","Total","TOTAL","Monthly","Israel","Sep-2013",1499.519,
"Queensland","Total","TOTAL","Monthly","Israel","Oct-2013",1018.533,
"Queensland","Total","TOTAL","Monthly","Israel","Nov-2013",988.651,
"Queensland","Total","TOTAL","Monthly","Israel","Dec-2013",3303.676,
"Queensland","Total","TOTAL","Monthly","Israel","Jan-2014",3064.792,
"Queensland","Total","TOTAL","Monthly","Israel","Feb-2014",2962.595,
"Queensland","Total","TOTAL","Monthly","Israel","Mar-2014",19187.95,
"Queensland","Total","TOTAL","Monthly","Israel","Apr-2014",2119.268,
"Queensland","Total","TOTAL","Monthly","Israel","May-2014",2722.949,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Aug-2013",1936.428,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Sep-2013",1781.583,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Oct-2013",1606.761,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Nov-2013",753.808,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Dec-2013",213.054,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Jan-2014",32.02,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Mar-2014",83.703,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","Apr-2014",64.106,
"Queensland","Total","TOTAL","Monthly","Kazakhstan","May-2014",47.825,
