State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Queensland","Total","TOTAL","Monthly","Total","Jun-2012",4191721.733,
"Queensland","Total","TOTAL","Monthly","Total","Jul-2012",3709538.346,
"Queensland","Total","TOTAL","Monthly","Total","Aug-2012",3902037.013,
"Queensland","Total","TOTAL","Monthly","Total","Sep-2012",3882701.81,
"Queensland","Total","TOTAL","Monthly","Total","Oct-2012",3880381.67,
"Queensland","Total","TOTAL","Monthly","Total","Nov-2012",3751231.071,
"Queensland","Total","TOTAL","Monthly","Total","Dec-2012",4180231.995,
"Queensland","Total","TOTAL","Monthly","Total","Jan-2013",2924997.324,
"Queensland","Total","TOTAL","Monthly","Total","Feb-2013",3154101.131,
"Queensland","Total","TOTAL","Monthly","Total","Mar-2013",3436901.09,
"Queensland","Total","TOTAL","Monthly","Total","Apr-2013",3508283.325,
"Queensland","Total","TOTAL","Monthly","Total","May-2013",4110383.717,
"Queensland","Total","TOTAL","Monthly","Total","Jun-2013",4002485.353,
"Queensland","Total","TOTAL","Monthly","Total","Jul-2013",4065583.738,
"Queensland","Total","TOTAL","Monthly","Total","Aug-2013",3808712.574,
"Queensland","Total","TOTAL","Monthly","Total","Sep-2013",3900953.858,
"Queensland","Total","TOTAL","Monthly","Total","Oct-2013",3834643.516,
"Queensland","Total","TOTAL","Monthly","Total","Nov-2013",3776849.098,
"Queensland","Total","TOTAL","Monthly","Total","Dec-2013",4194046.374,
"Queensland","Total","TOTAL","Monthly","Total","Jan-2014",3205079.647,
"Queensland","Total","TOTAL","Monthly","Total","Feb-2014",3485177.523,
"Queensland","Total","TOTAL","Monthly","Total","Mar-2014",3604247.693,
"Queensland","Total","TOTAL","Monthly","Total","Apr-2014",3636858.737,
"Queensland","Total","TOTAL","Monthly","Total","May-2014",3556574.321,
"Queensland","Total","TOTAL","Monthly","Cambodia","Jun-2012",134.322,
"Queensland","Total","TOTAL","Monthly","Cambodia","Jul-2012",39.179,
"Queensland","Total","TOTAL","Monthly","Cambodia","Aug-2012",177.221,
"Queensland","Total","TOTAL","Monthly","Cambodia","Sep-2012",18.989,
"Queensland","Total","TOTAL","Monthly","Cambodia","Oct-2012",49.431,
"Queensland","Total","TOTAL","Monthly","Cambodia","Nov-2012",90.254,
"Queensland","Total","TOTAL","Monthly","Cambodia","Dec-2012",143.787,
"Queensland","Total","TOTAL","Monthly","Cambodia","Jan-2013",41.07,
"Queensland","Total","TOTAL","Monthly","Cambodia","Feb-2013",117.792,
"Queensland","Total","TOTAL","Monthly","Cambodia","Apr-2013",58.635,
