State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Re-exports","Total","TOTAL","Monthly","Total","Aug-2013",855855.673,
"Re-exports","Total","TOTAL","Monthly","Total","Sep-2013",790524.261,
"Re-exports","Total","TOTAL","Monthly","Total","Oct-2013",822127.641,
"Re-exports","Total","TOTAL","Monthly","Total","Nov-2013",775362.521,
"Re-exports","Total","TOTAL","Monthly","Total","Dec-2013",870392.702,
"Re-exports","Total","TOTAL","Monthly","Total","Jan-2014",624848.425,
"Re-exports","Total","TOTAL","Monthly","Total","Feb-2014",784675.275,
"Re-exports","Total","TOTAL","Monthly","Total","Mar-2014",869711.667,
"Re-exports","Total","TOTAL","Monthly","Total","Apr-2014",816725.079,
"Re-exports","Total","TOTAL","Monthly","Total","May-2014",943365.76,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Aug-2013",90.868,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Sep-2013",30.185,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Oct-2013",49.473,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Nov-2013",116.108,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Dec-2013",292.12,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jan-2014",47.757,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Feb-2014",234.672,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Mar-2014",78.198,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Apr-2014",43.813,
"Re-exports","Total","TOTAL","Monthly","Cambodia","May-2014",170.681,
"Re-exports","Total","TOTAL","Monthly","Georgia","Oct-2013",625.397,
"Re-exports","Total","TOTAL","Monthly","Georgia","Nov-2013",2.396,
"Re-exports","Total","TOTAL","Monthly","Georgia","Jan-2014",0.287,
"Re-exports","Total","TOTAL","Monthly","Georgia","Apr-2014",2.722,
"Re-exports","Total","TOTAL","Monthly","Gibraltar","Apr-2014",3.325,
"Re-exports","Total","TOTAL","Monthly","Guatemala","Aug-2013",1.95,
"Re-exports","Total","TOTAL","Monthly","Guatemala","Sep-2013",3.038,
"Re-exports","Total","TOTAL","Monthly","Guatemala","Oct-2013",8.811,
