State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Re-exports","Total","TOTAL","Monthly","Total","Jun-2012",686871.906,
"Re-exports","Total","TOTAL","Monthly","Total","Jul-2012",668138.972,
"Re-exports","Total","TOTAL","Monthly","Total","Aug-2012",716477.205,
"Re-exports","Total","TOTAL","Monthly","Total","Sep-2012",711493.65,
"Re-exports","Total","TOTAL","Monthly","Total","Oct-2012",691455.196,
"Re-exports","Total","TOTAL","Monthly","Total","Nov-2012",656588.421,
"Re-exports","Total","TOTAL","Monthly","Total","Dec-2012",696153.702,
"Re-exports","Total","TOTAL","Monthly","Total","Jan-2013",423003.718,
"Re-exports","Total","TOTAL","Monthly","Total","Feb-2013",560574.409,
"Re-exports","Total","TOTAL","Monthly","Total","Mar-2013",672052.76,
"Re-exports","Total","TOTAL","Monthly","Total","Apr-2013",569903.972,
"Re-exports","Total","TOTAL","Monthly","Total","May-2013",665140.227,
"Re-exports","Total","TOTAL","Monthly","Total","Jun-2013",731885.25,
"Re-exports","Total","TOTAL","Monthly","Total","Jul-2013",711589.341,
"Re-exports","Total","TOTAL","Monthly","Total","Aug-2013",855855.673,
"Re-exports","Total","TOTAL","Monthly","Total","Sep-2013",790524.261,
"Re-exports","Total","TOTAL","Monthly","Total","Oct-2013",822127.641,
"Re-exports","Total","TOTAL","Monthly","Total","Nov-2013",775362.521,
"Re-exports","Total","TOTAL","Monthly","Total","Dec-2013",870392.702,
"Re-exports","Total","TOTAL","Monthly","Total","Jan-2014",624848.425,
"Re-exports","Total","TOTAL","Monthly","Total","Feb-2014",784675.275,
"Re-exports","Total","TOTAL","Monthly","Total","Mar-2014",869711.667,
"Re-exports","Total","TOTAL","Monthly","Total","Apr-2014",816725.079,
"Re-exports","Total","TOTAL","Monthly","Total","May-2014",943365.76,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jun-2012",143.449,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jul-2012",340.506,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Aug-2012",107.855,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Sep-2012",69.248,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Oct-2012",175.146,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Nov-2012",335.553,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Dec-2012",154.113,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jan-2013",46.166,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Feb-2013",119.315,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Mar-2013",87.396,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Apr-2013",56.572,
"Re-exports","Total","TOTAL","Monthly","Cambodia","May-2013",72.179,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jun-2013",8.133,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jul-2013",162.206,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Aug-2013",90.868,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Sep-2013",30.185,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Oct-2013",49.473,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Nov-2013",116.108,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Dec-2013",292.12,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Jan-2014",47.757,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Feb-2014",234.672,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Mar-2014",78.198,
"Re-exports","Total","TOTAL","Monthly","Cambodia","Apr-2014",43.813,
"Re-exports","Total","TOTAL","Monthly","Cambodia","May-2014",170.681,
"Re-exports","Total","TOTAL","Monthly","Georgia","Oct-2012",7.022,
"Re-exports","Total","TOTAL","Monthly","Georgia","Mar-2013",50.238,
"Re-exports","Total","TOTAL","Monthly","Georgia","Jun-2013",1.109,
"Re-exports","Total","TOTAL","Monthly","Georgia","Oct-2013",625.397,
"Re-exports","Total","TOTAL","Monthly","Georgia","Nov-2013",2.396,
"Re-exports","Total","TOTAL","Monthly","Georgia","Jan-2014",0.287,
"Re-exports","Total","TOTAL","Monthly","Georgia","Apr-2014",2.722,
"Re-exports","Total","TOTAL","Monthly","Gibraltar","Nov-2012",17.984,
"Re-exports","Total","TOTAL","Monthly","Gibraltar","Jan-2013",19.202,
"Re-exports","Total","TOTAL","Monthly","Gibraltar","Apr-2014",3.325,
