State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"South Australia","Total","TOTAL","Monthly","Total","Aug-2013",1114677.229,
"South Australia","Total","TOTAL","Monthly","Total","Sep-2013",924570.267,
"South Australia","Total","TOTAL","Monthly","Total","Oct-2013",827235.392,
"South Australia","Total","TOTAL","Monthly","Total","Nov-2013",856758.666,
"South Australia","Total","TOTAL","Monthly","Total","Dec-2013",1390098.742,
"South Australia","Total","TOTAL","Monthly","Total","Jan-2014",1024996.773,
"South Australia","Total","TOTAL","Monthly","Total","Feb-2014",1064491.174,
"South Australia","Total","TOTAL","Monthly","Total","Mar-2014",1108442.236,
"South Australia","Total","TOTAL","Monthly","Total","Apr-2014",1064080.021,
"South Australia","Total","TOTAL","Monthly","Total","May-2014",1052554.243,
"South Australia","Total","TOTAL","Monthly","Cambodia","Aug-2013",162.42,
"South Australia","Total","TOTAL","Monthly","Cambodia","Sep-2013",201.03,
"South Australia","Total","TOTAL","Monthly","Cambodia","Oct-2013",135.848,
"South Australia","Total","TOTAL","Monthly","Cambodia","Nov-2013",47.561,
"South Australia","Total","TOTAL","Monthly","Cambodia","Dec-2013",249.468,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jan-2014",543.47,
"South Australia","Total","TOTAL","Monthly","Cambodia","Feb-2014",81.507,
"South Australia","Total","TOTAL","Monthly","Cambodia","Mar-2014",41.777,
"South Australia","Total","TOTAL","Monthly","Cambodia","Apr-2014",28.066,
"South Australia","Total","TOTAL","Monthly","Cambodia","May-2014",252.663,
"South Australia","Total","TOTAL","Monthly","Georgia","Feb-2014",1090.809,
"South Australia","Total","TOTAL","Monthly","Georgia","Apr-2014",4.06,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Nov-2013",2.064,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Feb-2014",3.096,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Mar-2014",76.964,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Apr-2014",13.876,
"South Australia","Total","TOTAL","Monthly","Guatemala","Aug-2013",12.012,
"South Australia","Total","TOTAL","Monthly","Guatemala","Sep-2013",107.845,
"South Australia","Total","TOTAL","Monthly","Guatemala","Oct-2013",4.577,
"South Australia","Total","TOTAL","Monthly","Guatemala","Nov-2013",3.809,
"South Australia","Total","TOTAL","Monthly","Guatemala","Dec-2013",53.186,
"South Australia","Total","TOTAL","Monthly","Guatemala","Feb-2014",1.822,
"South Australia","Total","TOTAL","Monthly","Guatemala","May-2014",9.894,
"South Australia","Total","TOTAL","Monthly","Indonesia","Aug-2013",36643.315,
"South Australia","Total","TOTAL","Monthly","Indonesia","Sep-2013",37872.896,
"South Australia","Total","TOTAL","Monthly","Indonesia","Oct-2013",25094.004,
"South Australia","Total","TOTAL","Monthly","Indonesia","Nov-2013",13446.264,
"South Australia","Total","TOTAL","Monthly","Indonesia","Dec-2013",26967.589,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jan-2014",42310.868,
"South Australia","Total","TOTAL","Monthly","Indonesia","Feb-2014",60064.719,
"South Australia","Total","TOTAL","Monthly","Indonesia","Mar-2014",58256.82,
"South Australia","Total","TOTAL","Monthly","Indonesia","Apr-2014",28127.684,
"South Australia","Total","TOTAL","Monthly","Indonesia","May-2014",33074.559,
