State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"South Australia","Total","TOTAL","Monthly","Total","Jun-2012",896732.511,
"South Australia","Total","TOTAL","Monthly","Total","Jul-2012",935275.465,
"South Australia","Total","TOTAL","Monthly","Total","Aug-2012",935434.302,
"South Australia","Total","TOTAL","Monthly","Total","Sep-2012",783344.277,
"South Australia","Total","TOTAL","Monthly","Total","Oct-2012",750134.064,
"South Australia","Total","TOTAL","Monthly","Total","Nov-2012",729510.03,
"South Australia","Total","TOTAL","Monthly","Total","Dec-2012",1002517.39,
"South Australia","Total","TOTAL","Monthly","Total","Jan-2013",727762.159,
"South Australia","Total","TOTAL","Monthly","Total","Feb-2013",884950.765,
"South Australia","Total","TOTAL","Monthly","Total","Mar-2013",1058712.971,
"South Australia","Total","TOTAL","Monthly","Total","Apr-2013",936689.795,
"South Australia","Total","TOTAL","Monthly","Total","May-2013",933780.37,
"South Australia","Total","TOTAL","Monthly","Total","Jun-2013",1058969.585,
"South Australia","Total","TOTAL","Monthly","Total","Jul-2013",954664.436,
"South Australia","Total","TOTAL","Monthly","Total","Aug-2013",1114677.229,
"South Australia","Total","TOTAL","Monthly","Total","Sep-2013",924570.267,
"South Australia","Total","TOTAL","Monthly","Total","Oct-2013",827235.392,
"South Australia","Total","TOTAL","Monthly","Total","Nov-2013",856758.666,
"South Australia","Total","TOTAL","Monthly","Total","Dec-2013",1390098.742,
"South Australia","Total","TOTAL","Monthly","Total","Jan-2014",1024996.773,
"South Australia","Total","TOTAL","Monthly","Total","Feb-2014",1064491.174,
"South Australia","Total","TOTAL","Monthly","Total","Mar-2014",1108442.236,
"South Australia","Total","TOTAL","Monthly","Total","Apr-2014",1064080.021,
"South Australia","Total","TOTAL","Monthly","Total","May-2014",1052554.243,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jun-2012",170.723,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jul-2012",208.655,
"South Australia","Total","TOTAL","Monthly","Cambodia","Aug-2012",362.52,
"South Australia","Total","TOTAL","Monthly","Cambodia","Sep-2012",159.465,
"South Australia","Total","TOTAL","Monthly","Cambodia","Oct-2012",582.153,
"South Australia","Total","TOTAL","Monthly","Cambodia","Nov-2012",496.501,
"South Australia","Total","TOTAL","Monthly","Cambodia","Dec-2012",1001.286,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jan-2013",236.04,
"South Australia","Total","TOTAL","Monthly","Cambodia","Feb-2013",202.99,
"South Australia","Total","TOTAL","Monthly","Cambodia","Mar-2013",549.875,
"South Australia","Total","TOTAL","Monthly","Cambodia","Apr-2013",224.727,
"South Australia","Total","TOTAL","Monthly","Cambodia","May-2013",302.386,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jun-2013",189.087,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jul-2013",354.492,
"South Australia","Total","TOTAL","Monthly","Cambodia","Aug-2013",162.42,
"South Australia","Total","TOTAL","Monthly","Cambodia","Sep-2013",201.03,
"South Australia","Total","TOTAL","Monthly","Cambodia","Oct-2013",135.848,
"South Australia","Total","TOTAL","Monthly","Cambodia","Nov-2013",47.561,
"South Australia","Total","TOTAL","Monthly","Cambodia","Dec-2013",249.468,
"South Australia","Total","TOTAL","Monthly","Cambodia","Jan-2014",543.47,
"South Australia","Total","TOTAL","Monthly","Cambodia","Feb-2014",81.507,
"South Australia","Total","TOTAL","Monthly","Cambodia","Mar-2014",41.777,
"South Australia","Total","TOTAL","Monthly","Cambodia","Apr-2014",28.066,
"South Australia","Total","TOTAL","Monthly","Cambodia","May-2014",252.663,
"South Australia","Total","TOTAL","Monthly","Georgia","Apr-2013",31.11,
"South Australia","Total","TOTAL","Monthly","Georgia","Jun-2013",32.15,
"South Australia","Total","TOTAL","Monthly","Georgia","Jul-2013",12.132,
"South Australia","Total","TOTAL","Monthly","Georgia","Feb-2014",1090.809,
"South Australia","Total","TOTAL","Monthly","Georgia","Apr-2014",4.06,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Jun-2012",47.299,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Dec-2012",2.69,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Mar-2013",3.677,
"South Australia","Total","TOTAL","Monthly","Gibraltar","May-2013",8.629,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Nov-2013",2.064,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Feb-2014",3.096,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Mar-2014",76.964,
"South Australia","Total","TOTAL","Monthly","Gibraltar","Apr-2014",13.876,
"South Australia","Total","TOTAL","Monthly","Guatemala","Jun-2012",27.357,
"South Australia","Total","TOTAL","Monthly","Guatemala","Jul-2012",36.58,
"South Australia","Total","TOTAL","Monthly","Guatemala","Aug-2012",34.394,
"South Australia","Total","TOTAL","Monthly","Guatemala","Sep-2012",50.443,
"South Australia","Total","TOTAL","Monthly","Guatemala","Oct-2012",37.696,
"South Australia","Total","TOTAL","Monthly","Guatemala","Nov-2012",7.561,
"South Australia","Total","TOTAL","Monthly","Guatemala","Dec-2012",31.507,
"South Australia","Total","TOTAL","Monthly","Guatemala","Apr-2013",22.779,
"South Australia","Total","TOTAL","Monthly","Guatemala","May-2013",18.378,
"South Australia","Total","TOTAL","Monthly","Guatemala","Jun-2013",30.244,
"South Australia","Total","TOTAL","Monthly","Guatemala","Jul-2013",2.177,
"South Australia","Total","TOTAL","Monthly","Guatemala","Aug-2013",12.012,
"South Australia","Total","TOTAL","Monthly","Guatemala","Sep-2013",107.845,
"South Australia","Total","TOTAL","Monthly","Guatemala","Oct-2013",4.577,
"South Australia","Total","TOTAL","Monthly","Guatemala","Nov-2013",3.809,
"South Australia","Total","TOTAL","Monthly","Guatemala","Dec-2013",53.186,
"South Australia","Total","TOTAL","Monthly","Guatemala","Feb-2014",1.822,
"South Australia","Total","TOTAL","Monthly","Guatemala","May-2014",9.894,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jun-2012",51433.415,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jul-2012",50471.793,
"South Australia","Total","TOTAL","Monthly","Indonesia","Aug-2012",18770.749,
"South Australia","Total","TOTAL","Monthly","Indonesia","Sep-2012",62956.742,
"South Australia","Total","TOTAL","Monthly","Indonesia","Oct-2012",18679.882,
"South Australia","Total","TOTAL","Monthly","Indonesia","Nov-2012",24263.208,
"South Australia","Total","TOTAL","Monthly","Indonesia","Dec-2012",61579.896,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jan-2013",43146.048,
"South Australia","Total","TOTAL","Monthly","Indonesia","Feb-2013",14427.07,
"South Australia","Total","TOTAL","Monthly","Indonesia","Mar-2013",32241.984,
"South Australia","Total","TOTAL","Monthly","Indonesia","Apr-2013",42675.47,
"South Australia","Total","TOTAL","Monthly","Indonesia","May-2013",39863.071,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jun-2013",92071.716,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jul-2013",46102.43,
"South Australia","Total","TOTAL","Monthly","Indonesia","Aug-2013",36643.315,
"South Australia","Total","TOTAL","Monthly","Indonesia","Sep-2013",37872.896,
"South Australia","Total","TOTAL","Monthly","Indonesia","Oct-2013",25094.004,
"South Australia","Total","TOTAL","Monthly","Indonesia","Nov-2013",13446.264,
"South Australia","Total","TOTAL","Monthly","Indonesia","Dec-2013",26967.589,
"South Australia","Total","TOTAL","Monthly","Indonesia","Jan-2014",42310.868,
"South Australia","Total","TOTAL","Monthly","Indonesia","Feb-2014",60064.719,
"South Australia","Total","TOTAL","Monthly","Indonesia","Mar-2014",58256.82,
"South Australia","Total","TOTAL","Monthly","Indonesia","Apr-2014",28127.684,
"South Australia","Total","TOTAL","Monthly","Indonesia","May-2014",33074.559,
"South Australia","Total","TOTAL","Monthly","Iraq","Jun-2012",15037.509,
"South Australia","Total","TOTAL","Monthly","Iraq","Jul-2012",14101.419,
"South Australia","Total","TOTAL","Monthly","Iraq","Aug-2012",2.386,
"South Australia","Total","TOTAL","Monthly","Iraq","Sep-2012",52.58,
"South Australia","Total","TOTAL","Monthly","Iraq","Oct-2012",366.404,
"South Australia","Total","TOTAL","Monthly","Iraq","Nov-2012",106.179,
"South Australia","Total","TOTAL","Monthly","Iraq","Dec-2012",16928.359,
"South Australia","Total","TOTAL","Monthly","Iraq","Jan-2013",71029.237,
"South Australia","Total","TOTAL","Monthly","Iraq","Feb-2013",30.391,
"South Australia","Total","TOTAL","Monthly","Iraq","Mar-2013",103,
"South Australia","Total","TOTAL","Monthly","Iraq","Apr-2013",16915.591,
"South Australia","Total","TOTAL","Monthly","Iraq","May-2013",16976.812,
"South Australia","Total","TOTAL","Monthly","Iraq","Jun-2013",17715.077,
"South Australia","Total","TOTAL","Monthly","Iraq","Jul-2013",127.043,
"South Australia","Total","TOTAL","Monthly","Iraq","Aug-2013",251.756,
"South Australia","Total","TOTAL","Monthly","Iraq","Sep-2013",4618.904,
"South Australia","Total","TOTAL","Monthly","Iraq","Oct-2013",12595.313,
"South Australia","Total","TOTAL","Monthly","Iraq","Nov-2013",129.062,
"South Australia","Total","TOTAL","Monthly","Iraq","Dec-2013",34017.136,
"South Australia","Total","TOTAL","Monthly","Iraq","Jan-2014",121.006,
"South Australia","Total","TOTAL","Monthly","Iraq","Mar-2014",25960.087,
"South Australia","Total","TOTAL","Monthly","Iraq","Apr-2014",36280.414,
"South Australia","Total","TOTAL","Monthly","Iraq","May-2014",56329.384,
"South Australia","Total","TOTAL","Monthly","Israel","Jun-2012",1688.758,
"South Australia","Total","TOTAL","Monthly","Israel","Jul-2012",163.432,
"South Australia","Total","TOTAL","Monthly","Israel","Aug-2012",48.162,
"South Australia","Total","TOTAL","Monthly","Israel","Sep-2012",120.18,
"South Australia","Total","TOTAL","Monthly","Israel","Oct-2012",95.352,
"South Australia","Total","TOTAL","Monthly","Israel","Nov-2012",63.312,
"South Australia","Total","TOTAL","Monthly","Israel","Dec-2012",173.576,
"South Australia","Total","TOTAL","Monthly","Israel","Jan-2013",97.025,
"South Australia","Total","TOTAL","Monthly","Israel","Feb-2013",49.56,
"South Australia","Total","TOTAL","Monthly","Israel","Mar-2013",267.994,
"South Australia","Total","TOTAL","Monthly","Israel","Apr-2013",179.754,
"South Australia","Total","TOTAL","Monthly","Israel","May-2013",4094.39,
"South Australia","Total","TOTAL","Monthly","Israel","Jun-2013",4004.925,
"South Australia","Total","TOTAL","Monthly","Israel","Jul-2013",124.659,
"South Australia","Total","TOTAL","Monthly","Israel","Aug-2013",204.361,
"South Australia","Total","TOTAL","Monthly","Israel","Sep-2013",85.277,
"South Australia","Total","TOTAL","Monthly","Israel","Oct-2013",4461.355,
"South Australia","Total","TOTAL","Monthly","Israel","Nov-2013",73.325,
"South Australia","Total","TOTAL","Monthly","Israel","Dec-2013",153.449,
"South Australia","Total","TOTAL","Monthly","Israel","Jan-2014",105.525,
"South Australia","Total","TOTAL","Monthly","Israel","Feb-2014",140.882,
"South Australia","Total","TOTAL","Monthly","Israel","Mar-2014",78.165,
"South Australia","Total","TOTAL","Monthly","Israel","Apr-2014",39.26,
"South Australia","Total","TOTAL","Monthly","Israel","May-2014",4645.399,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Jul-2012",320.015,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Aug-2012",237.147,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Sep-2012",289.14,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Oct-2012",3707.497,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Nov-2012",18.953,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Mar-2013",60.17,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","May-2013",388.296,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Jun-2013",297.447,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Jul-2013",197.956,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Aug-2013",262.016,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Oct-2013",78.738,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Nov-2013",37.317,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Dec-2013",187.321,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Feb-2014",309.925,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","Apr-2014",29.837,
"South Australia","Total","TOTAL","Monthly","Kazakhstan","May-2014",22.344,
"South Australia","Total","TOTAL","Monthly","New Zealand","Jun-2012",32479.514,
"South Australia","Total","TOTAL","Monthly","New Zealand","Jul-2012",42828.541,
"South Australia","Total","TOTAL","Monthly","New Zealand","Aug-2012",40187.448,
"South Australia","Total","TOTAL","Monthly","New Zealand","Sep-2012",44166.289,
"South Australia","Total","TOTAL","Monthly","New Zealand","Oct-2012",26298.449,
"South Australia","Total","TOTAL","Monthly","New Zealand","Nov-2012",45302.623,
"South Australia","Total","TOTAL","Monthly","New Zealand","Dec-2012",26415.365,
"South Australia","Total","TOTAL","Monthly","New Zealand","Jan-2013",25973.709,
"South Australia","Total","TOTAL","Monthly","New Zealand","Feb-2013",37331.45,
"South Australia","Total","TOTAL","Monthly","New Zealand","Mar-2013",29080.382,
"South Australia","Total","TOTAL","Monthly","New Zealand","Apr-2013",25488.497,
"South Australia","Total","TOTAL","Monthly","New Zealand","May-2013",20960.201,
"South Australia","Total","TOTAL","Monthly","New Zealand","Jun-2013",45315.98,
"South Australia","Total","TOTAL","Monthly","New Zealand","Jul-2013",43703.456,
"South Australia","Total","TOTAL","Monthly","New Zealand","Aug-2013",45317.611,
"South Australia","Total","TOTAL","Monthly","New Zealand","Sep-2013",35153.185,
"South Australia","Total","TOTAL","Monthly","New Zealand","Oct-2013",60002.58,
"South Australia","Total","TOTAL","Monthly","New Zealand","Nov-2013",36885.444,
"South Australia","Total","TOTAL","Monthly","New Zealand","Dec-2013",52822.185,
"South Australia","Total","TOTAL","Monthly","New Zealand","Jan-2014",24846.208,
"South Australia","Total","TOTAL","Monthly","New Zealand","Feb-2014",26709.883,
"South Australia","Total","TOTAL","Monthly","New Zealand","Mar-2014",26008.692,
"South Australia","Total","TOTAL","Monthly","New Zealand","Apr-2014",43190.786,
"South Australia","Total","TOTAL","Monthly","New Zealand","May-2014",49830.472,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Jun-2012",38.701,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Jul-2012",154.911,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Aug-2012",223.553,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Sep-2012",23.633,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Oct-2012",79.229,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Nov-2012",119.484,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Dec-2012",85.462,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Jan-2013",252.968,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Feb-2013",156.304,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Mar-2013",256.227,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Apr-2013",22.302,
"South Australia","Total","TOTAL","Monthly","French Polynesia","May-2013",95.803,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Jun-2013",156.796,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Jul-2013",73.835,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Aug-2013",11.874,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Sep-2013",128.869,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Oct-2013",14.5,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Nov-2013",54.777,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Dec-2013",106.278,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Jan-2014",4.893,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Feb-2014",165.36,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Mar-2014",77.641,
"South Australia","Total","TOTAL","Monthly","French Polynesia","Apr-2014",97.257,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Jun-2012",3864.432,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Jul-2012",3553.196,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Aug-2012",4274.486,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Sep-2012",3386.786,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Oct-2012",3233.616,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Nov-2012",2783.16,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Dec-2012",2408.743,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Jan-2013",2200.077,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Feb-2013",2637.892,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Mar-2013",2360.418,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Apr-2013",3781.354,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","May-2013",2975.136,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Jun-2013",3347.59,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Jul-2013",2685.561,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Aug-2013",3236.728,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Sep-2013",2865.362,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Oct-2013",3056.853,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Nov-2013",7018.683,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Dec-2013",2402.199,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Jan-2014",41423.547,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Feb-2014",2112.232,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Mar-2014",3207.277,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","Apr-2014",2882.791,
"South Australia","Total","TOTAL","Monthly","Papua New Guinea","May-2014",2000.022,
"South Australia","Total","TOTAL","Monthly","Qatar","Jun-2012",8184.805,
"South Australia","Total","TOTAL","Monthly","Qatar","Jul-2012",1901.554,
"South Australia","Total","TOTAL","Monthly","Qatar","Aug-2012",679.993,
"South Australia","Total","TOTAL","Monthly","Qatar","Sep-2012",705.851,
