State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Tasmania","Total","TOTAL","Monthly","Total","Aug-2013",240997.159,
"Tasmania","Total","TOTAL","Monthly","Total","Sep-2013",218887.814,
"Tasmania","Total","TOTAL","Monthly","Total","Oct-2013",207275.831,
"Tasmania","Total","TOTAL","Monthly","Total","Nov-2013",241579.42,
"Tasmania","Total","TOTAL","Monthly","Total","Dec-2013",289660.22,
"Tasmania","Total","TOTAL","Monthly","Total","Jan-2014",234308.298,
"Tasmania","Total","TOTAL","Monthly","Total","Feb-2014",214701.2,
"Tasmania","Total","TOTAL","Monthly","Total","Mar-2014",220644.505,
"Tasmania","Total","TOTAL","Monthly","Total","Apr-2014",267305.364,
"Tasmania","Total","TOTAL","Monthly","Total","May-2014",219231.508,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Sep-2013",0.274,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Oct-2013",10.348,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Nov-2013",41.677,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Dec-2013",22.601,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Jan-2014",75.072,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Feb-2014",16.21,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Mar-2014",6.36,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Apr-2014",10.027,
"Tasmania","Total","TOTAL","Monthly","Cambodia","May-2014",54.779,
"Tasmania","Total","TOTAL","Monthly","Georgia","Sep-2013",352.756,
"Tasmania","Total","TOTAL","Monthly","Georgia","Oct-2013",365.227,
"Tasmania","Total","TOTAL","Monthly","Georgia","Nov-2013",115.939,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Sep-2013",5.224,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Nov-2013",57.517,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Dec-2013",81.563,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Aug-2013",10733.896,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Sep-2013",8821.11,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Oct-2013",13767.761,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Nov-2013",15507.609,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Dec-2013",11751.924,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jan-2014",15266.071,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Feb-2014",15067.72,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Mar-2014",15139.566,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Apr-2014",12893.008,
"Tasmania","Total","TOTAL","Monthly","Indonesia","May-2014",12573.128,
"Tasmania","Total","TOTAL","Monthly","Israel","Dec-2013",49.856,
"Tasmania","Total","TOTAL","Monthly","Kazakhstan","Jan-2014",40.808,
"Tasmania","Total","TOTAL","Monthly","Kazakhstan","Feb-2014",5.286,
"Tasmania","Total","TOTAL","Monthly","Kazakhstan","Mar-2014",31.064,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Aug-2013",8883.118,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Sep-2013",7070.858,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Oct-2013",11962.854,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Nov-2013",8329.547,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Dec-2013",9487.167,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Jan-2014",7752.124,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Feb-2014",5962.015,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Mar-2014",10124.261,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Apr-2014",8184.158,
"Tasmania","Total","TOTAL","Monthly","New Zealand","May-2014",8482.475,
"Tasmania","Total","TOTAL","Monthly","French Polynesia","Sep-2013",21.831,
"Tasmania","Total","TOTAL","Monthly","French Polynesia","Nov-2013",10.801,
"Tasmania","Total","TOTAL","Monthly","French Polynesia","Dec-2013",16.333,
"Tasmania","Total","TOTAL","Monthly","French Polynesia","Feb-2014",25.188,
"Tasmania","Total","TOTAL","Monthly","French Polynesia","Mar-2014",2.079,
"Tasmania","Total","TOTAL","Monthly","French Polynesia","Apr-2014",3.6,
"Tasmania","Total","TOTAL","Monthly","Papua New Guinea","Aug-2013",209.583,
"Tasmania","Total","TOTAL","Monthly","Papua New Guinea","Sep-2013",385.915,
"Tasmania","Total","TOTAL","Monthly","Papua New Guinea","Oct-2013",467.24,
