State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Tasmania","Total","TOTAL","Monthly","Total","Jun-2012",265361.413,
"Tasmania","Total","TOTAL","Monthly","Total","Jul-2012",281191.941,
"Tasmania","Total","TOTAL","Monthly","Total","Aug-2012",209356.369,
"Tasmania","Total","TOTAL","Monthly","Total","Sep-2012",229993.45,
"Tasmania","Total","TOTAL","Monthly","Total","Oct-2012",191790.121,
"Tasmania","Total","TOTAL","Monthly","Total","Nov-2012",272483.148,
"Tasmania","Total","TOTAL","Monthly","Total","Dec-2012",294522.145,
"Tasmania","Total","TOTAL","Monthly","Total","Jan-2013",201301.591,
"Tasmania","Total","TOTAL","Monthly","Total","Feb-2013",287869.704,
"Tasmania","Total","TOTAL","Monthly","Total","Mar-2013",352766.46,
"Tasmania","Total","TOTAL","Monthly","Total","Apr-2013",215788.672,
"Tasmania","Total","TOTAL","Monthly","Total","May-2013",278339.73,
"Tasmania","Total","TOTAL","Monthly","Total","Jun-2013",222066.691,
"Tasmania","Total","TOTAL","Monthly","Total","Jul-2013",192457.037,
"Tasmania","Total","TOTAL","Monthly","Total","Aug-2013",240997.159,
"Tasmania","Total","TOTAL","Monthly","Total","Sep-2013",218887.814,
"Tasmania","Total","TOTAL","Monthly","Total","Oct-2013",207275.831,
"Tasmania","Total","TOTAL","Monthly","Total","Nov-2013",241579.42,
"Tasmania","Total","TOTAL","Monthly","Total","Dec-2013",289660.22,
"Tasmania","Total","TOTAL","Monthly","Total","Jan-2014",234308.298,
"Tasmania","Total","TOTAL","Monthly","Total","Feb-2014",214701.2,
"Tasmania","Total","TOTAL","Monthly","Total","Mar-2014",220644.505,
"Tasmania","Total","TOTAL","Monthly","Total","Apr-2014",267305.364,
"Tasmania","Total","TOTAL","Monthly","Total","May-2014",219231.508,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Jun-2012",11.403,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Jul-2012",13.61,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Aug-2012",14.851,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Sep-2012",13.516,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Oct-2012",39.503,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Dec-2012",51.734,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Jan-2013",16.385,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Feb-2013",105.087,
"Tasmania","Total","TOTAL","Monthly","Cambodia","May-2013",33.393,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Jun-2013",66.264,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Sep-2013",0.274,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Oct-2013",10.348,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Nov-2013",41.677,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Dec-2013",22.601,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Jan-2014",75.072,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Feb-2014",16.21,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Mar-2014",6.36,
"Tasmania","Total","TOTAL","Monthly","Cambodia","Apr-2014",10.027,
"Tasmania","Total","TOTAL","Monthly","Cambodia","May-2014",54.779,
"Tasmania","Total","TOTAL","Monthly","Georgia","Nov-2012",229.99,
"Tasmania","Total","TOTAL","Monthly","Georgia","Sep-2013",352.756,
"Tasmania","Total","TOTAL","Monthly","Georgia","Oct-2013",365.227,
"Tasmania","Total","TOTAL","Monthly","Georgia","Nov-2013",115.939,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Jun-2012",6.965,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Jul-2012",941.666,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Aug-2012",21.789,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Nov-2012",659.357,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Feb-2013",7.371,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Mar-2013",556.808,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Apr-2013",3.409,
"Tasmania","Total","TOTAL","Monthly","Guatemala","May-2013",9.515,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Jul-2013",8.18,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Sep-2013",5.224,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Nov-2013",57.517,
"Tasmania","Total","TOTAL","Monthly","Guatemala","Dec-2013",81.563,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jun-2012",5571.827,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jul-2012",3717.547,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Aug-2012",5113.344,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Sep-2012",4871.255,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Oct-2012",7000.935,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Nov-2012",5308.947,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Dec-2012",9681.437,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jan-2013",8970.697,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Feb-2013",9865.82,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Mar-2013",13744.699,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Apr-2013",16193.672,
"Tasmania","Total","TOTAL","Monthly","Indonesia","May-2013",20443.837,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jun-2013",14546.774,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jul-2013",10640.867,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Aug-2013",10733.896,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Sep-2013",8821.11,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Oct-2013",13767.761,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Nov-2013",15507.609,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Dec-2013",11751.924,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Jan-2014",15266.071,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Feb-2014",15067.72,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Mar-2014",15139.566,
"Tasmania","Total","TOTAL","Monthly","Indonesia","Apr-2014",12893.008,
"Tasmania","Total","TOTAL","Monthly","Indonesia","May-2014",12573.128,
"Tasmania","Total","TOTAL","Monthly","Israel","Jun-2012",6.768,
"Tasmania","Total","TOTAL","Monthly","Israel","Jul-2012",15.673,
"Tasmania","Total","TOTAL","Monthly","Israel","Aug-2012",13.185,
"Tasmania","Total","TOTAL","Monthly","Israel","Oct-2012",66.274,
"Tasmania","Total","TOTAL","Monthly","Israel","Jan-2013",13.089,
"Tasmania","Total","TOTAL","Monthly","Israel","Feb-2013",3.31,
"Tasmania","Total","TOTAL","Monthly","Israel","Apr-2013",3.523,
"Tasmania","Total","TOTAL","Monthly","Israel","May-2013",24.656,
"Tasmania","Total","TOTAL","Monthly","Israel","Jul-2013",2.589,
"Tasmania","Total","TOTAL","Monthly","Israel","Dec-2013",49.856,
"Tasmania","Total","TOTAL","Monthly","Kazakhstan","Jan-2014",40.808,
"Tasmania","Total","TOTAL","Monthly","Kazakhstan","Feb-2014",5.286,
"Tasmania","Total","TOTAL","Monthly","Kazakhstan","Mar-2014",31.064,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Jun-2012",6840.188,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Jul-2012",5060.119,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Aug-2012",10749.147,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Sep-2012",9197.765,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Oct-2012",8807.613,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Nov-2012",9160.177,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Dec-2012",7544.902,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Jan-2013",5143.198,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Feb-2013",6494.161,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Mar-2013",6694.099,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Apr-2013",9328.779,
"Tasmania","Total","TOTAL","Monthly","New Zealand","May-2013",9523.51,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Jun-2013",7930.083,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Jul-2013",7757.914,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Aug-2013",8883.118,
"Tasmania","Total","TOTAL","Monthly","New Zealand","Sep-2013",7070.858,
