State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Victoria","Total","TOTAL","Monthly","Total","Aug-2013",1996547.603,
"Victoria","Total","TOTAL","Monthly","Total","Sep-2013",1897697.345,
"Victoria","Total","TOTAL","Monthly","Total","Oct-2013",1911004.9,
"Victoria","Total","TOTAL","Monthly","Total","Nov-2013",1797717.983,
"Victoria","Total","TOTAL","Monthly","Total","Dec-2013",2211175.028,
"Victoria","Total","TOTAL","Monthly","Total","Jan-2014",1741774.018,
"Victoria","Total","TOTAL","Monthly","Total","Feb-2014",1962797.027,
"Victoria","Total","TOTAL","Monthly","Total","Mar-2014",2236489.516,
"Victoria","Total","TOTAL","Monthly","Total","Apr-2014",2006203.265,
"Victoria","Total","TOTAL","Monthly","Total","May-2014",2132442.159,
"Victoria","Total","TOTAL","Monthly","Cambodia","Aug-2013",224.844,
"Victoria","Total","TOTAL","Monthly","Cambodia","Sep-2013",231.346,
"Victoria","Total","TOTAL","Monthly","Cambodia","Oct-2013",840.081,
"Victoria","Total","TOTAL","Monthly","Cambodia","Nov-2013",840.426,
"Victoria","Total","TOTAL","Monthly","Cambodia","Dec-2013",387.145,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jan-2014",475.695,
"Victoria","Total","TOTAL","Monthly","Cambodia","Feb-2014",644.702,
"Victoria","Total","TOTAL","Monthly","Cambodia","Mar-2014",229.992,
"Victoria","Total","TOTAL","Monthly","Cambodia","Apr-2014",445.521,
"Victoria","Total","TOTAL","Monthly","Cambodia","May-2014",610.408,
"Victoria","Total","TOTAL","Monthly","Georgia","Oct-2013",939.521,
"Victoria","Total","TOTAL","Monthly","Georgia","Nov-2013",318.943,
"Victoria","Total","TOTAL","Monthly","Georgia","Dec-2013",323.898,
"Victoria","Total","TOTAL","Monthly","Georgia","Jan-2014",621.765,
"Victoria","Total","TOTAL","Monthly","Georgia","Feb-2014",730.463,
"Victoria","Total","TOTAL","Monthly","Georgia","Mar-2014",456.015,
"Victoria","Total","TOTAL","Monthly","Georgia","Apr-2014",195.419,
"Victoria","Total","TOTAL","Monthly","Georgia","May-2014",701.566,
"Victoria","Total","TOTAL","Monthly","Gibraltar","Mar-2014",8.065,
"Victoria","Total","TOTAL","Monthly","Gibraltar","Apr-2014",2.435,
"Victoria","Total","TOTAL","Monthly","Gibraltar","May-2014",2.599,
"Victoria","Total","TOTAL","Monthly","Guatemala","Aug-2013",189.602,
"Victoria","Total","TOTAL","Monthly","Guatemala","Sep-2013",614.652,
"Victoria","Total","TOTAL","Monthly","Guatemala","Oct-2013",525.328,
"Victoria","Total","TOTAL","Monthly","Guatemala","Nov-2013",301.843,
"Victoria","Total","TOTAL","Monthly","Guatemala","Dec-2013",591.956,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jan-2014",389.143,
"Victoria","Total","TOTAL","Monthly","Guatemala","Feb-2014",187.713,
"Victoria","Total","TOTAL","Monthly","Guatemala","Mar-2014",288.491,
"Victoria","Total","TOTAL","Monthly","Guatemala","Apr-2014",547.46,
"Victoria","Total","TOTAL","Monthly","Guatemala","May-2014",373.165,
"Victoria","Total","TOTAL","Monthly","Indonesia","Aug-2013",61704.767,
"Victoria","Total","TOTAL","Monthly","Indonesia","Sep-2013",83280.247,
"Victoria","Total","TOTAL","Monthly","Indonesia","Oct-2013",70155.845,
"Victoria","Total","TOTAL","Monthly","Indonesia","Nov-2013",67251.506,
"Victoria","Total","TOTAL","Monthly","Indonesia","Dec-2013",66495.665,
"Victoria","Total","TOTAL","Monthly","Indonesia","Jan-2014",72699.006,
"Victoria","Total","TOTAL","Monthly","Indonesia","Feb-2014",75272.008,
"Victoria","Total","TOTAL","Monthly","Indonesia","Mar-2014",77254.407,
"Victoria","Total","TOTAL","Monthly","Indonesia","Apr-2014",50343.211,
"Victoria","Total","TOTAL","Monthly","Indonesia","May-2014",66430.536,
"Victoria","Total","TOTAL","Monthly","Iraq","Aug-2013",64.636,
"Victoria","Total","TOTAL","Monthly","Iraq","Sep-2013",1035.471,
"Victoria","Total","TOTAL","Monthly","Iraq","Oct-2013",789.781,
"Victoria","Total","TOTAL","Monthly","Iraq","Nov-2013",323.784,
"Victoria","Total","TOTAL","Monthly","Iraq","Dec-2013",1023.969,
"Victoria","Total","TOTAL","Monthly","Iraq","Jan-2014",270.428,
"Victoria","Total","TOTAL","Monthly","Iraq","Feb-2014",124.916,
"Victoria","Total","TOTAL","Monthly","Iraq","Mar-2014",16192.669,
"Victoria","Total","TOTAL","Monthly","Iraq","Apr-2014",1122.137,
"Victoria","Total","TOTAL","Monthly","Iraq","May-2014",16001.945,
"Victoria","Total","TOTAL","Monthly","Israel","Aug-2013",854.958,
"Victoria","Total","TOTAL","Monthly","Israel","Sep-2013",939.231,
"Victoria","Total","TOTAL","Monthly","Israel","Oct-2013",1332.178,
"Victoria","Total","TOTAL","Monthly","Israel","Nov-2013",1515.813,
"Victoria","Total","TOTAL","Monthly","Israel","Dec-2013",2438.651,
"Victoria","Total","TOTAL","Monthly","Israel","Jan-2014",1078.145,
"Victoria","Total","TOTAL","Monthly","Israel","Feb-2014",378.839,
"Victoria","Total","TOTAL","Monthly","Israel","Mar-2014",756.939,
"Victoria","Total","TOTAL","Monthly","Israel","Apr-2014",1314.62,
"Victoria","Total","TOTAL","Monthly","Israel","May-2014",872.645,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Aug-2013",4476.808,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Sep-2013",3378.138,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Oct-2013",5276.435,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Nov-2013",1553.253,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Dec-2013",1038.485,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Jan-2014",5.126,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Feb-2014",237.765,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Mar-2014",39.959,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","Apr-2014",309.774,
"Victoria","Total","TOTAL","Monthly","Kazakhstan","May-2014",119.269,
"Victoria","Total","TOTAL","Monthly","New Zealand","Aug-2013",169891.73,
"Victoria","Total","TOTAL","Monthly","New Zealand","Sep-2013",156045.987,
"Victoria","Total","TOTAL","Monthly","New Zealand","Oct-2013",172073.666,
"Victoria","Total","TOTAL","Monthly","New Zealand","Nov-2013",143238.949,
"Victoria","Total","TOTAL","Monthly","New Zealand","Dec-2013",155755.047,
"Victoria","Total","TOTAL","Monthly","New Zealand","Jan-2014",145792.499,
"Victoria","Total","TOTAL","Monthly","New Zealand","Feb-2014",143588.393,
"Victoria","Total","TOTAL","Monthly","New Zealand","Mar-2014",167004.804,
"Victoria","Total","TOTAL","Monthly","New Zealand","Apr-2014",128065.185,
"Victoria","Total","TOTAL","Monthly","New Zealand","May-2014",168838.281,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Aug-2013",637.01,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Sep-2013",1103.879,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Oct-2013",643.323,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Nov-2013",1124.774,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Dec-2013",1041.456,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Jan-2014",950.726,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Feb-2014",1236.835,
"Victoria","Total","TOTAL","Monthly","French Polynesia","Mar-2014",695.915,
