State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Victoria","Total","TOTAL","Monthly","Total","Jun-2012",1926055.062,
"Victoria","Total","TOTAL","Monthly","Total","Jul-2012",1897207.075,
"Victoria","Total","TOTAL","Monthly","Total","Aug-2012",1719454.787,
"Victoria","Total","TOTAL","Monthly","Total","Sep-2012",1760744.413,
"Victoria","Total","TOTAL","Monthly","Total","Oct-2012",1773266.289,
"Victoria","Total","TOTAL","Monthly","Total","Nov-2012",1733594.238,
"Victoria","Total","TOTAL","Monthly","Total","Dec-2012",1811289.776,
"Victoria","Total","TOTAL","Monthly","Total","Jan-2013",1313978.04,
"Victoria","Total","TOTAL","Monthly","Total","Feb-2013",1854524.72,
"Victoria","Total","TOTAL","Monthly","Total","Mar-2013",1960404.175,
"Victoria","Total","TOTAL","Monthly","Total","Apr-2013",1754965.456,
"Victoria","Total","TOTAL","Monthly","Total","May-2013",2111772.134,
"Victoria","Total","TOTAL","Monthly","Total","Jun-2013",2041388.089,
"Victoria","Total","TOTAL","Monthly","Total","Jul-2013",2025012.13,
"Victoria","Total","TOTAL","Monthly","Total","Aug-2013",1996547.603,
"Victoria","Total","TOTAL","Monthly","Total","Sep-2013",1897697.345,
"Victoria","Total","TOTAL","Monthly","Total","Oct-2013",1911004.9,
"Victoria","Total","TOTAL","Monthly","Total","Nov-2013",1797717.983,
"Victoria","Total","TOTAL","Monthly","Total","Dec-2013",2211175.028,
"Victoria","Total","TOTAL","Monthly","Total","Jan-2014",1741774.018,
"Victoria","Total","TOTAL","Monthly","Total","Feb-2014",1962797.027,
"Victoria","Total","TOTAL","Monthly","Total","Mar-2014",2236489.516,
"Victoria","Total","TOTAL","Monthly","Total","Apr-2014",2006203.265,
"Victoria","Total","TOTAL","Monthly","Total","May-2014",2132442.159,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jun-2012",1630.592,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jul-2012",358.842,
"Victoria","Total","TOTAL","Monthly","Cambodia","Aug-2012",836.663,
"Victoria","Total","TOTAL","Monthly","Cambodia","Sep-2012",884.216,
"Victoria","Total","TOTAL","Monthly","Cambodia","Oct-2012",1211.745,
"Victoria","Total","TOTAL","Monthly","Cambodia","Nov-2012",476.571,
"Victoria","Total","TOTAL","Monthly","Cambodia","Dec-2012",1230.576,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jan-2013",284.39,
"Victoria","Total","TOTAL","Monthly","Cambodia","Feb-2013",215.202,
"Victoria","Total","TOTAL","Monthly","Cambodia","Mar-2013",348.587,
"Victoria","Total","TOTAL","Monthly","Cambodia","Apr-2013",67.348,
"Victoria","Total","TOTAL","Monthly","Cambodia","May-2013",390.757,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jun-2013",1081.853,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jul-2013",159.362,
"Victoria","Total","TOTAL","Monthly","Cambodia","Aug-2013",224.844,
"Victoria","Total","TOTAL","Monthly","Cambodia","Sep-2013",231.346,
"Victoria","Total","TOTAL","Monthly","Cambodia","Oct-2013",840.081,
"Victoria","Total","TOTAL","Monthly","Cambodia","Nov-2013",840.426,
"Victoria","Total","TOTAL","Monthly","Cambodia","Dec-2013",387.145,
"Victoria","Total","TOTAL","Monthly","Cambodia","Jan-2014",475.695,
"Victoria","Total","TOTAL","Monthly","Cambodia","Feb-2014",644.702,
"Victoria","Total","TOTAL","Monthly","Cambodia","Mar-2014",229.992,
"Victoria","Total","TOTAL","Monthly","Cambodia","Apr-2014",445.521,
"Victoria","Total","TOTAL","Monthly","Cambodia","May-2014",610.408,
"Victoria","Total","TOTAL","Monthly","Georgia","Jun-2012",31.474,
"Victoria","Total","TOTAL","Monthly","Georgia","Aug-2012",113.011,
"Victoria","Total","TOTAL","Monthly","Georgia","Sep-2012",321.027,
"Victoria","Total","TOTAL","Monthly","Georgia","Nov-2012",67.946,
"Victoria","Total","TOTAL","Monthly","Georgia","Dec-2012",115.43,
"Victoria","Total","TOTAL","Monthly","Georgia","Jan-2013",71.053,
"Victoria","Total","TOTAL","Monthly","Georgia","Feb-2013",229.382,
"Victoria","Total","TOTAL","Monthly","Georgia","Mar-2013",140.26,
"Victoria","Total","TOTAL","Monthly","Georgia","Apr-2013",37.21,
"Victoria","Total","TOTAL","Monthly","Georgia","Oct-2013",939.521,
"Victoria","Total","TOTAL","Monthly","Georgia","Nov-2013",318.943,
"Victoria","Total","TOTAL","Monthly","Georgia","Dec-2013",323.898,
"Victoria","Total","TOTAL","Monthly","Georgia","Jan-2014",621.765,
"Victoria","Total","TOTAL","Monthly","Georgia","Feb-2014",730.463,
"Victoria","Total","TOTAL","Monthly","Georgia","Mar-2014",456.015,
"Victoria","Total","TOTAL","Monthly","Georgia","Apr-2014",195.419,
"Victoria","Total","TOTAL","Monthly","Georgia","May-2014",701.566,
"Victoria","Total","TOTAL","Monthly","Gibraltar","Feb-2013",587.851,
"Victoria","Total","TOTAL","Monthly","Gibraltar","Mar-2014",8.065,
"Victoria","Total","TOTAL","Monthly","Gibraltar","Apr-2014",2.435,
"Victoria","Total","TOTAL","Monthly","Gibraltar","May-2014",2.599,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jun-2012",1398,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jul-2012",723.856,
"Victoria","Total","TOTAL","Monthly","Guatemala","Aug-2012",409.085,
"Victoria","Total","TOTAL","Monthly","Guatemala","Sep-2012",344.466,
"Victoria","Total","TOTAL","Monthly","Guatemala","Oct-2012",737.562,
"Victoria","Total","TOTAL","Monthly","Guatemala","Nov-2012",620.371,
"Victoria","Total","TOTAL","Monthly","Guatemala","Dec-2012",1271.927,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jan-2013",636.28,
"Victoria","Total","TOTAL","Monthly","Guatemala","Feb-2013",600.77,
"Victoria","Total","TOTAL","Monthly","Guatemala","Mar-2013",820.44,
"Victoria","Total","TOTAL","Monthly","Guatemala","Apr-2013",686.965,
"Victoria","Total","TOTAL","Monthly","Guatemala","May-2013",962.522,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jun-2013",1273.524,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jul-2013",865.168,
"Victoria","Total","TOTAL","Monthly","Guatemala","Aug-2013",189.602,
"Victoria","Total","TOTAL","Monthly","Guatemala","Sep-2013",614.652,
"Victoria","Total","TOTAL","Monthly","Guatemala","Oct-2013",525.328,
"Victoria","Total","TOTAL","Monthly","Guatemala","Nov-2013",301.843,
"Victoria","Total","TOTAL","Monthly","Guatemala","Dec-2013",591.956,
"Victoria","Total","TOTAL","Monthly","Guatemala","Jan-2014",389.143,
"Victoria","Total","TOTAL","Monthly","Guatemala","Feb-2014",187.713,
"Victoria","Total","TOTAL","Monthly","Guatemala","Mar-2014",288.491,
"Victoria","Total","TOTAL","Monthly","Guatemala","Apr-2014",547.46,
"Victoria","Total","TOTAL","Monthly","Guatemala","May-2014",373.165,
"Victoria","Total","TOTAL","Monthly","Grenada","Sep-2012",86.738,
"Victoria","Total","TOTAL","Monthly","Grenada","Oct-2012",60.132,
"Victoria","Total","TOTAL","Monthly","Indonesia","Jun-2012",80284.238,
