State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Western Australia","Total","TOTAL","Monthly","Total","Aug-2013",10963029.447,
"Western Australia","Total","TOTAL","Monthly","Total","Sep-2013",10866397.067,
"Western Australia","Total","TOTAL","Monthly","Total","Oct-2013",10767789.285,
"Western Australia","Total","TOTAL","Monthly","Total","Nov-2013",10591149.992,
"Western Australia","Total","TOTAL","Monthly","Total","Dec-2013",12124948.636,
"Western Australia","Total","TOTAL","Monthly","Total","Jan-2014",11406722.904,
"Western Australia","Total","TOTAL","Monthly","Total","Feb-2014",11094867.997,
"Western Australia","Total","TOTAL","Monthly","Total","Mar-2014",11871339.53,
"Western Australia","Total","TOTAL","Monthly","Total","Apr-2014",10850785.722,
"Western Australia","Total","TOTAL","Monthly","Total","May-2014",11110201.618,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Aug-2013",454.745,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Sep-2013",190.501,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Oct-2013",237.486,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Nov-2013",409.94,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Dec-2013",416.215,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Jan-2014",591.869,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Feb-2014",450.896,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Mar-2014",750.296,
"Western Australia","Total","TOTAL","Monthly","Cambodia","Apr-2014",609.693,
"Western Australia","Total","TOTAL","Monthly","Cambodia","May-2014",478.387,
"Western Australia","Total","TOTAL","Monthly","Georgia","Aug-2013",111.165,
"Western Australia","Total","TOTAL","Monthly","Georgia","Sep-2013",33.202,
"Western Australia","Total","TOTAL","Monthly","Georgia","Oct-2013",79.5,
"Western Australia","Total","TOTAL","Monthly","Georgia","Nov-2013",345.746,
"Western Australia","Total","TOTAL","Monthly","Georgia","Dec-2013",43.387,
